id,Datum,Fastenzeit
160708,2016-07-08,0
160709,2016-07-09,0
160710,2016-07-10,0
160711,2016-07-11,0
160712,2016-07-12,0
160713,2016-07-13,0
160714,2016-07-14,0
160715,2016-07-15,0
160716,2016-07-16,0
160717,2016-07-17,0
160718,2016-07-18,0
160719,2016-07-19,0
160720,2016-07-20,0
160721,2016-07-21,0
160722,2016-07-22,0
160723,2016-07-23,0
160724,2016-07-24,0
160725,2016-07-25,0
160726,2016-07-26,0
160727,2016-07-27,0
160728,2016-07-28,0
160729,2016-07-29,0
160730,2016-07-30,0
160731,2016-07-31,0
160801,2016-08-01,0
160802,2016-08-02,0
160803,2016-08-03,0
160804,2016-08-04,0
160805,2016-08-05,0
160806,2016-08-06,0
160807,2016-08-07,0
160808,2016-08-08,0
160809,2016-08-09,0
160810,2016-08-10,0
160811,2016-08-11,0
160812,2016-08-12,0
160813,2016-08-13,0
160814,2016-08-14,0
160815,2016-08-15,0
160816,2016-08-16,0
160817,2016-08-17,0
160818,2016-08-18,0
160819,2016-08-19,0
160820,2016-08-20,0
160821,2016-08-21,0
160822,2016-08-22,0
160823,2016-08-23,0
160824,2016-08-24,0
160825,2016-08-25,0
160826,2016-08-26,0
160827,2016-08-27,0
160828,2016-08-28,0
160829,2016-08-29,0
160830,2016-08-30,0
160831,2016-08-31,0
